user_id,region,timestamp,source,raw_text,skill_tags,engagement
U0001,Hyderabad,2024-04-24T00:00:00,forum,"Worked on projects involving Statistics, Cloud.",Statistics;Cloud,95
U0001,Lucknow,2024-02-14T00:00:00,innovation_lab,"Worked on projects involving Robotics, Statistics.",Robotics;Statistics,55
U0002,Hyderabad,2024-09-15T00:00:00,innovation_lab,"Worked on projects involving Machine Learning, Web Development.",Machine Learning;Web Development,4
U0002,Pune,2024-04-22T00:00:00,learning,"Worked on projects involving Web Development, Statistics, Robotics, Computer Vision.",Web Development;Statistics;Robotics;Computer Vision,76
U0003,Bengaluru,2024-12-23T00:00:00,learning,"Worked on projects involving Linear Algebra, Time Series.",Linear Algebra;Time Series,44
U0003,Mumbai,2024-02-17T00:00:00,learning,"Worked on projects involving Data Science, Web Development, SQL.",Data Science;Web Development;SQL,13
U0003,Chennai,2025-02-17T00:00:00,github,"Worked on projects involving Time Series, SQL, IoT.",Time Series;SQL;IoT,94
U0003,Mumbai,2024-10-09T00:00:00,gig,"Worked on projects involving Computer Vision, Machine Learning, AI.",Computer Vision;Machine Learning;AI,81
U0004,Mumbai,2024-01-24T00:00:00,forum,"Worked on projects involving IoT, Web Development, Statistics.",IoT;Web Development;Statistics,99
U0004,Pune,2024-05-22T00:00:00,learning,"Worked on projects involving Machine Learning, Web Development, Time Series.",Machine Learning;Web Development;Time Series,82
U0004,Hyderabad,2024-12-09T00:00:00,gig,"Worked on projects involving Data Science, SQL, Linear Algebra.",Data Science;SQL;Linear Algebra,90
U0004,Bengaluru,2024-09-30T00:00:00,forum,"Worked on projects involving Robotics, Machine Learning, IoT, Time Series.",Robotics;Machine Learning;IoT;Time Series,21
U0004,Lucknow,2024-04-22T00:00:00,gig,"Worked on projects involving AI, Cloud, Robotics.",AI;Cloud;Robotics,99
U0004,Kolkata,2024-07-24T00:00:00,gig,"Worked on projects involving Web Development, Python.",Web Development;Python,9
U0005,Jaipur,2024-07-21T00:00:00,learning,"Worked on projects involving Statistics, SQL, Web Development, Robotics.",Statistics;SQL;Web Development;Robotics,19
U0005,Lucknow,2024-10-02T00:00:00,gig,"Worked on projects involving Data Science, Web Development, Statistics.",Data Science;Web Development;Statistics,96
U0005,Hyderabad,2024-03-11T00:00:00,innovation_lab,"Worked on projects involving AI, IoT, Time Series, SQL.",AI;IoT;Time Series;SQL,64
U0006,Bengaluru,2024-11-17T00:00:00,forum,"Worked on projects involving Time Series, Machine Learning.",Time Series;Machine Learning,88
U0006,Pune,2024-11-01T00:00:00,learning,"Worked on projects involving IoT, Machine Learning, AI.",IoT;Machine Learning;AI,68
U0007,Lucknow,2025-01-19T00:00:00,gig,"Worked on projects involving Time Series, Python, Robotics, Machine Learning.",Time Series;Python;Robotics;Machine Learning,99
U0007,Bengaluru,2024-08-20T00:00:00,github,"Worked on projects involving SQL, Machine Learning, Cloud, AI.",SQL;Machine Learning;Cloud;AI,93
U0007,Mumbai,2025-03-21T00:00:00,gig,"Worked on projects involving Cloud, Computer Vision, Data Science, Linear Algebra.",Cloud;Computer Vision;Data Science;Linear Algebra,82
U0007,Bengaluru,2024-10-03T00:00:00,innovation_lab,"Worked on projects involving IoT, Web Development, Data Science, SQL.",IoT;Web Development;Data Science;SQL,1
U0008,Kolkata,2025-03-25T00:00:00,gig,"Worked on projects involving NLP, Python, Machine Learning.",NLP;Python;Machine Learning,31
U0008,Mumbai,2024-02-13T00:00:00,learning,"Worked on projects involving Web Development, IoT.",Web Development;IoT,9
U0008,Jaipur,2025-04-29T00:00:00,innovation_lab,"Worked on projects involving Linear Algebra, Data Science, Time Series, Robotics.",Linear Algebra;Data Science;Time Series;Robotics,22
U0008,Hyderabad,2025-04-20T00:00:00,innovation_lab,"Worked on projects involving Computer Vision, IoT, AI.",Computer Vision;IoT;AI,97
U0008,Pune,2024-12-09T00:00:00,gig,"Worked on projects involving Statistics, Web Development, Time Series, Cloud.",Statistics;Web Development;Time Series;Cloud,57
U0008,Mumbai,2024-06-22T00:00:00,github,"Worked on projects involving NLP, Machine Learning, Web Development, Statistics.",NLP;Machine Learning;Web Development;Statistics,76
U0009,Delhi,2024-02-06T00:00:00,github,"Worked on projects involving IoT, Web Development.",IoT;Web Development,30
U0009,Mumbai,2024-09-20T00:00:00,forum,"Worked on projects involving Python, SQL.",Python;SQL,36
U0009,Patna,2024-10-22T00:00:00,learning,"Worked on projects involving NLP, Web Development, Computer Vision, Data Science.",NLP;Web Development;Computer Vision;Data Science,32
U0009,Mumbai,2024-02-19T00:00:00,learning,"Worked on projects involving Linear Algebra, AI, Web Development.",Linear Algebra;AI;Web Development,46
U0009,Delhi,2024-12-10T00:00:00,github,"Worked on projects involving AI, NLP, Statistics.",AI;NLP;Statistics,8
U0009,Hyderabad,2024-04-08T00:00:00,forum,"Worked on projects involving Statistics, SQL, Machine Learning.",Statistics;SQL;Machine Learning,69
U0010,Chennai,2024-08-24T00:00:00,forum,"Worked on projects involving AI, Data Science.",AI;Data Science,10
U0010,Delhi,2024-11-29T00:00:00,innovation_lab,"Worked on projects involving Linear Algebra, Computer Vision, Machine Learning.",Linear Algebra;Computer Vision;Machine Learning,2
U0010,Bengaluru,2024-07-27T00:00:00,learning,"Worked on projects involving Linear Algebra, Web Development.",Linear Algebra;Web Development,62
U0010,Delhi,2024-03-25T00:00:00,learning,"Worked on projects involving Time Series, AI.",Time Series;AI,1
U0010,Chennai,2024-08-04T00:00:00,innovation_lab,"Worked on projects involving Cloud, Linear Algebra, NLP.",Cloud;Linear Algebra;NLP,85
U0011,Hyderabad,2025-05-10T00:00:00,github,"Worked on projects involving Web Development, Cloud.",Web Development;Cloud,75
U0011,Delhi,2024-01-26T00:00:00,innovation_lab,"Worked on projects involving Computer Vision, Python, Statistics, SQL.",Computer Vision;Python;Statistics;SQL,62
